dataId,label,accX,accY,accZ,gyroX,gyroY,gyroZ
2,fallforward,-7.6522,-1.7563,0.0191,119.445,782.5707,-267.7215
2,fallforward,-8.461,-1.4309,-0.1627,82.3759,709.1188,-329.5034
2,fallforward,-8.3079,-1.3208,-0.6221,80.3165,677.5414,-385.1071
2,fallforward,-8.083,-1.8138,-0.9476,105.7157,671.3633,-392.6583
2,fallforward,-8.1452,-2.5507,-1.986,72.0789,630.1754,-381.6748
2,fallforward,-9.5426,-3.7137,-1.8425,157.8871,617.819,-391.2854
2,fallforward,-10.8778,-3.8285,-2.1105,165.4382,585.5551,-444.8297
2,fallforward,-12.0215,-4.0965,-2.5412,129.0555,494.9417,-523.7732
2,fallforward,-12.5384,-5.3073,-2.4263,26.0857,418.744,-556.7235
2,fallforward,-13.9071,-6.9535,-2.5268,-32.9503,473.6612,-578.004
2,fallforward,-18.1567,-9.2985,-1.139,-166.1247,765.4091,-691.9572
2,fallforward,-18.7741,-9.4469,-8.528,-662.4393,1114.1335,-780.5112
2,fallforward,-23.6889,-16.319,-3.4361,-384.4207,1555.5308,-750.3068
2,fallforward,-27.6275,-16.5344,-1.5649,-1346.8453,1625.5503,-713.9241
2,fallforward,-23.7942,-8.2696,-4.2449,-1905.6283,939.7713,-904.7615
2,fallforward,-14.7541,-3.216,-4.9675,-1454.6205,217.6096,-1032.4441
2,fallforward,-9.4373,-2.0339,-4.8383,-956.9329,-216.2366,-858.7684
2,fallforward,-6.1735,-3.0628,-4.6516,-817.5804,-476.4071,-737.9504
2,fallforward,-2.6656,-5.6901,-3.8094,-733.1452,-354.2162,-526.519
2,fallforward,-1.0481,-6.1974,-2.0865,-1176.6019,-205.9397,-362.4538
2,fallforward,-1.4596,-4.9005,-1.7276,-1037.2494,-48.0526,-362.4538
2,fallforward,-2.2588,-4.0726,-1.0911,-932.9066,85.8082,-437.2785
2,fallforward,-2.7805,-2.8953,-1.1629,-954.1871,192.2103,-425.6086
2,fallforward,-3.3117,-2.1488,-1.4596,-984.3915,247.8141,-422.1763
2,fallforward,-3.1346,-1.8855,-1.7037,-1204.0605,221.7284,-336.3681
2,fallforward,-2.0148,-1.3926,-3.3882,-1049.6057,170.9299,-186.7186
2,fallforward,-2.9719,-0.9236,-4.9531,-1103.15,118.0721,-128.369
2,fallforward,-3.0293,-1.5936,-6.1639,-1101.7771,85.8082,29.518
2,fallforward,-4.6708,-2.7805,-5.7667,-1245.2484,177.7946,173.6758
2,fallforward,-4.9149,-2.8044,-6.2309,-1346.8453,249.187,284.8832
2,fallforward,-4.1874,-2.5603,-6.0443,-1315.2678,287.6291,334.3087
2,fallforward,-2.1344,-1.6702,-8.9683,-515.5356,405.7011,319.8929
2,fallforward,0.3494,-1.0624,-13.7874,112.5803,554.6641,387.1665
2,fallforward,-4.9819,-5.2451,-15.9697,561.5287,725.594,-75.5112
2,fallforward,-7.5613,-10.9878,-15.3667,1591.2271,977.5269,-703.6271
2,fallforward,-3.8189,-11.8828,-15.4528,1506.1053,1001.5532,-364.5132
2,fallforward,-6.0251,-8.7338,-14.1847,2025.0732,1114.8199,-62.4684
2,fallforward,-7.5948,-3.7184,-8.997,1610.4481,847.0984,-66.5872
2,fallforward,-7.3986,2.01,-7.4417,1154.635,606.8355,10.297
2,fallforward,-3.2303,-0.0861,-7.7958,1245.2484,505.2386,-134.5472
2,fallforward,-1.1342,-2.1727,-9.4373,1008.4178,434.5327,-383.7342
2,fallforward,-1.5888,-6.0012,-9.332,810.0293,361.7673,-503.8657
2,fallforward,-3.2064,-8.2983,-8.7912,618.5054,412.5658,-203.1938
2,fallforward,-3.0867,-7.3795,-8.4802,510.0439,420.8033,120.1315
2,fallforward,-3.9051,-6.5037,-8.729,536.816,317.8335,-13.0428
2,fallforward,-4.0295,-6.274,-9.5186,529.2649,389.9124,-354.9026
