dataId,label,accX,accY,accZ,gyroX,gyroY,gyroZ
1,idle,-8.9204,-1.0481,4.2497,-5.4917,-8.9241,-6.8647
1,idle,-8.9396,-1.0576,4.2592,-6.1782,-10.297,-5.4917
1,idle,-8.9587,-1.0672,4.2353,-4.8053,-8.9241,-6.8647
1,idle,-8.9539,-1.0337,4.2353,-4.8053,-6.8647,-10.297
1,idle,-8.9157,-1.072,4.2497,-8.2376,-8.2376,-15.1022
1,idle,-8.93,-1.0433,4.2209,-8.9241,-5.4917,-14.4158
1,idle,-8.9827,-1.0576,4.2449,-8.9241,-4.8053,-8.9241
1,idle,-8.9874,-1.0481,4.264,-7.5511,-10.9834,-7.5511
1,idle,-8.9444,-1.0433,4.2736,-6.1782,-10.9834,-12.3564
1,idle,-8.9492,-1.1007,4.2114,-12.3564,-10.9834,-13.0428
1,idle,-8.9683,-1.1055,4.2497,0.6865,-16.4752,-8.9241
1,idle,-8.8822,-1.0911,4.1683,2.0594,-1.3729,-12.3564
1,idle,-8.93,-1.0816,4.197,-0.6865,7.5511,-6.8647
1,idle,-9.0018,-1.0911,4.197,-9.6105,1.3729,-4.8053
1,idle,-8.9252,-1.0911,4.1539,-8.9241,-1.3729,-4.1188
1,idle,-8.9779,-1.072,4.1492,-10.297,2.0594,-11.6699
1,idle,-8.9874,-1.0863,4.197,-12.3564,-1.3729,-13.0428
1,idle,-8.9827,-1.1007,4.1539,-12.3564,-8.9241,-16.4752
1,idle,-8.9874,-1.0863,4.1587,-10.9834,-10.297,-16.4752
1,idle,-8.9731,-1.1198,4.1635,-11.6699,-8.2376,-13.7293
1,idle,-8.9635,-1.1294,4.1539,-8.2376,-6.8647,-12.3564
1,idle,-8.9874,-1.1007,4.1396,-6.1782,-6.1782,-10.297
1,idle,-8.9779,-1.1294,4.1444,-4.1188,-4.1188,-10.9834
1,idle,-8.9827,-1.1151,4.1204,-2.0594,-7.5511,-8.9241
1,idle,-9.0257,-1.1151,4.1204,-3.4323,-3.4323,-10.297
1,idle,-9.0018,-1.0959,4.1444,-2.7459,-6.8647,-2.0594
1,idle,-9.0018,-1.1151,4.1492,-0.6865,-10.9834,-2.7459
1,idle,-9.0209,-1.0959,4.1348,2.0594,-10.9834,-8.2376
1,idle,-8.9779,-1.1198,4.1635,6.8647,-11.6699,-10.297
1,idle,-8.9779,-1.1198,4.1348,4.8053,-11.6699,-13.0428
1,idle,-8.9779,-1.1198,4.1348,7.5511,-12.3564,-6.8647
1,idle,-9.0018,-1.1438,4.1348,5.4917,-12.3564,-6.8647
